Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,BMI_Calc,Weekly_Calories,Monthly_Calories,Monthly_Fat_Loss_kg,Current_Fat_kg,Target_Fat_kg,Fat_kg_To_Lose,Months_To_Target
46,Female,74.9,1.53,179,151,66,1.3,883,HIIT,33.9,2.1,4,2,32.0,31.99624076210005,3532,14128,1.8348051948051949,25.391099999999998,11.235000000000001,14.156099999999997,7.715314977349942
32,Female,68.1,1.66,167,122,54,1.11,677,Cardio,33.4,2.3,4,2,24.71,24.71331107562781,2708,10832,1.4067532467532466,22.745399999999997,10.214999999999998,12.530399999999998,8.90731905465288
25,Male,53.2,1.7,190,164,56,0.59,532,Strength,28.8,2.1,3,1,18.41,18.4083044982699,1596,6384,0.8290909090909091,15.321600000000002,7.98,7.3416000000000015,8.855000000000002
36,Male,70.3,1.72,174,169,73,1.49,1385,Cardio,21.3,2.3,3,2,23.76,23.762844780962684,4155,16620,2.1584415584415586,14.973899999999999,10.545,4.428899999999999,2.0518971119133567
40,Female,69.7,1.51,189,141,64,1.27,895,Cardio,30.6,1.9,3,2,30.57,30.568834700232447,2685,10740,1.3948051948051947,21.3282,10.455,10.873199999999999,7.79549720670391
28,Male,121.7,1.94,185,127,52,1.03,719,Strength,28.9,2.6,4,2,32.34,32.33606121798278,2876,11504,1.494025974025974,35.171299999999995,18.255,16.916299999999996,11.322627781641165
28,Male,101.8,1.84,169,136,64,1.08,808,Cardio,29.7,2.7,3,1,30.07,30.06852551984877,2424,9696,1.2592207792207792,30.234599999999997,15.27,14.964599999999997,11.884016089108908
41,Male,120.8,1.67,188,146,54,0.82,593,HIIT,20.5,3.0,2,1,43.31,43.31456846785471,1186,4744,0.6161038961038962,24.764,18.119999999999997,6.644000000000002,10.783895446880273
53,Male,51.7,1.7,175,152,72,1.15,865,HIIT,23.6,3.5,3,2,17.89,17.889273356401386,2595,10380,1.348051948051948,12.201200000000002,7.755,4.446200000000002,3.2982408477842022
57,Male,112.5,1.61,195,165,61,1.24,1013,Cardio,22.1,2.7,3,2,43.4,43.40110335249411,3039,12156,1.5787012987012987,24.8625,16.875,7.987500000000001,5.0595384995064165
41,Male,94.5,2.0,179,136,69,1.18,794,HIIT,27.6,3.7,3,1,23.62,23.625,2382,9528,1.2374025974025975,26.082,14.174999999999999,11.907000000000002,9.62257556675063
20,Male,117.7,1.81,196,161,54,1.35,1195,Yoga,26.4,3.3,3,2,35.93,35.926864259332746,3585,14340,1.8623376623376624,31.0728,17.655,13.4178,7.20481589958159
